PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,13.53
2,6,10,12.94
3,11,15,13.11
4,16,20,12.93
5,21,25,12.96
6,26,30,13.13
7,31,35,13.22
8,36,40,13.33
9,41,45,13.61
10,46,50,13.32
11,51,55,13.00
12,56,60,13.07
13,61,65,13.20
14,66,70,13.48
15,71,75,13.22
16,76,80,13.35
17,81,85,13.18
18,86,90,13.27
19,91,95,13.09
20,96,100,12.86
21,101,105,12.92
22,106,110,13.10
23,111,115,13.15
24,116,120,13.12
25,121,125,13.18
26,126,130,13.15
27,131,135,13.04
28,136,140,13.24
29,141,145,13.26
30,146,150,13.39
31,151,155,13.21
32,156,160,13.47
33,161,165,13.90
34,166,170,13.42
35,171,175,13.62
36,176,180,13.35
37,181,185,13.95
38,186,190,13.47
39,191,195,13.00
40,196,200,12.90
41,201,205,13.73
42,206,210,14.22
43,211,215,13.37
44,216,220,13.42
45,221,225,13.22
46,226,230,13.33
47,231,235,14.05
48,236,240,13.40
49,241,245,13.11
50,246,250,13.15
51,251,255,13.23
52,256,260,13.82
53,261,265,13.73
54,266,270,13.71
55,271,275,14.78
56,276,280,15.57
57,281,285,15.73
58,286,290,16.61
59,291,295,17.59
60,296,300,18.74
61,301,305,18.46
62,306,310,18.78
63,311,315,17.66
64,316,320,15.71
65,321,325,14.92
66,326,330,15.04
67,331,335,15.35
68,336,340,16.14
69,341,345,15.80
70,346,350,16.23
71,351,355,16.52
72,356,360,16.11
,,OverallMean,14.10
,,PeriodStdDev,1.52
