PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,13.526
2,6,10,12.9366
3,11,15,13.1074
4,16,20,12.9305
5,21,25,12.9563
6,26,30,13.1327
7,31,35,13.2165
8,36,40,13.3273
9,41,45,13.6074
10,46,50,13.3188
11,51,55,12.9953
12,56,60,13.0714
13,61,65,13.201
14,66,70,13.4776
15,71,75,13.22
16,76,80,13.3482
17,81,85,13.182
18,86,90,13.2748
19,91,95,13.0928
20,96,100,12.8574
21,101,105,12.9211
22,106,110,13.0983
23,111,115,13.1454
24,116,120,13.1201
25,121,125,13.1757
26,126,130,13.1461
27,131,135,13.036
28,136,140,13.245
29,141,145,13.263
30,146,150,13.3858
31,151,155,13.2128
32,156,160,13.4732
33,161,165,13.9004
34,166,170,13.4195
35,171,175,13.6229
36,176,180,13.3535
37,181,185,13.9524
38,186,190,13.4705
39,191,195,13.0028
40,196,200,12.8979
41,201,205,13.7324
42,206,210,14.2222
43,211,215,13.374
44,216,220,13.4209
45,221,225,13.22
46,226,230,13.3314
47,231,235,14.0527
48,236,240,13.4038
49,241,245,13.1097
50,246,250,13.1515
51,251,255,13.2269
52,256,260,13.8223
53,261,265,13.7298
54,266,270,13.7114
55,271,275,14.7852
56,276,280,15.5503
57,281,285,15.7228
58,286,290,16.5709
59,291,295,17.5222
60,296,300,18.6456
61,301,305,18.4113
62,306,310,18.6299
63,311,315,17.769
64,316,320,15.6571
65,321,325,14.8607
66,326,330,14.9678
67,331,335,15.2322
68,336,340,15.888
69,341,345,15.7148
70,346,350,16.0162
71,351,355,16.686
72,356,360,16.4069
