Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,30,63,126,11,14,179,118,12,177,191,88,12,162,41,35,60,61,5,17
Cartagena,24,-,40,39,9,12,48,15,9,63,33,42,32,54,80,72,39,32,17,19
Colombo,64,41,-,82,11,13,60,37,14,54,87,44,56,115,81,96,31,56,16,40
Hamburg,60,38,87,-,13,16,169,38,14,70,69,29,59,7,154,161,56,22,26,52
Ho Chi Minh City,14,13,23,32,-,10,48,9,2,50,28,19,17,49,43,44,14,21,8,13
Jakarta,19,18,30,38,6,-,62,11,8,66,39,36,18,60,50,56,5,24,11,14
Jebel Ali,82,28,63,112,15,20,-,51,17,116,74,37,63,165,96,108,53,120,18,51
Kaohsiung,15,20,24,61,9,10,54,-,9,133,70,36,11,68,27,17,24,31,8,8
Laem Chabang,15,13,20,30,2,9,50,9,-,56,28,26,15,43,40,44,10,20,10,12
Los Angeles,86,83,55,65,17,20,107,52,17,-,272,49,78,96,153,134,55,38,31,66
New Jersey,70,42,85,68,11,13,84,49,10,278,-,61,70,77,167,160,45,21,26,54
Piraeus,44,40,43,17,8,8,57,26,7,47,57,-,41,36,92,90,31,20,16,31
Qingdao,5,27,38,69,8,11,94,12,8,183,108,60,-,84,8,8,35,45,9,0
Rotterdam,90,55,125,4,19,25,241,59,22,106,101,25,92,-,216,218,77,28,34,69
Shanghai,40,73,61,213,18,21,164,17,20,260,268,120,51,246,-,14,53,100,31,4
Shenzhen,29,61,55,210,16,19,215,7,19,154,267,121,12,273,36,-,38,81,9,6
Singapore,57,45,27,94,4,8,96,33,7,193,93,54,60,135,67,90,-,62,16,41
Tanger Med,44,30,60,13,12,16,120,23,12,40,21,12,42,15,98,97,46,-,18,32
Tianjin,6,22,31,64,6,8,89,7,7,75,81,40,2,94,10,7,34,32,-,0
Xiamen,21,27,42,103,8,9,126,7,9,85,129,63,7,126,25,12,38,45,1,-
