Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,3,16,14,3,3,27,73,3,56,22,14,20,20,49,25,18,8,12,14
Cartagena,3,-,7,13,1,2,6,2,1,5,38,12,3,19,11,9,6,14,2,2
Colombo,14,6,-,22,8,10,72,9,8,8,19,21,10,33,38,37,38,20,3,11
Hamburg,8,13,23,-,2,3,36,5,3,7,33,21,7,37,27,27,13,33,3,7
Ho Chi Minh City,1,1,4,2,-,3,6,1,3,3,2,2,1,4,6,6,9,2,1,1
Jakarta,1,1,3,2,1,-,5,1,2,3,2,3,1,3,5,5,5,1,1,1
Jebel Ali,15,5,65,28,6,9,-,10,6,14,14,24,10,40,27,28,30,33,3,11
Kaohsiung,26,2,5,7,2,2,7,-,2,39,8,5,9,8,17,8,7,4,9,4
Laem Chabang,1,1,4,2,1,4,6,1,-,3,2,2,1,3,7,6,10,2,1,1
Los Angeles,27,6,8,5,2,3,12,13,2,-,24,6,22,9,46,26,9,4,8,13
New Jersey,8,48,17,32,2,2,14,6,2,23,-,20,7,39,26,21,8,15,3,6
Piraeus,7,9,19,12,2,2,28,5,2,6,18,-,6,28,23,20,10,26,2,6
Qingdao,12,3,10,9,2,3,15,11,2,52,13,10,-,11,28,10,13,6,4,0
Rotterdam,12,21,35,23,4,5,53,9,4,10,51,20,13,-,41,38,18,53,5,11
Shanghai,30,8,27,36,8,10,36,20,8,66,39,29,27,42,-,24,38,18,17,10
Shenzhen,34,7,31,39,8,12,50,22,9,31,39,33,8,50,19,-,42,17,7,3
Singapore,17,6,37,19,5,7,56,10,5,29,15,19,14,28,54,52,-,16,4,15
Tanger Med,7,14,21,20,3,4,30,4,3,4,14,16,6,28,20,18,12,-,2,5
Tianjin,9,2,8,8,1,2,14,5,2,20,10,7,10,12,22,7,11,4,-,0
Xiamen,19,3,13,13,2,3,21,13,3,16,16,11,5,17,12,46,16,6,0,-
