Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,260,"1,438","1,358",234,330,"2,572","6,986",257,"5,637","2,027","1,235","1,898","1,738","4,587","2,410","1,692",749,"1,134","1,339"
Cartagena,201,-,533,"1,034",101,134,507,123,97,396,"2,913",755,259,"1,475",826,718,465,"1,056",139,170
Colombo,"1,328",529,-,"1,785",618,798,"5,476",877,669,687,"1,599","1,610","1,044","2,657","3,551","3,562","3,041","1,550",317,"1,044"
Hamburg,653,964,"1,881",-,200,265,"2,904",439,203,571,"2,415","1,566",614,"2,891","2,279","2,190","1,010","2,539",280,610
Ho Chi Minh City,233,123,739,398,-,658,"1,114",171,546,555,344,312,261,615,"1,229","1,185","1,814",306,123,250
Jakarta,338,177,"1,058",500,446,-,"1,542",217,467,784,508,637,291,819,"1,616","1,585","1,475",363,183,307
Jebel Ali,"1,164",355,"5,375","1,956",533,736,-,795,523,"1,169","1,053","1,657",828,"3,033","2,166","2,238","2,526","2,507",247,851
Kaohsiung,"2,439",156,458,619,169,203,676,-,180,"3,690",696,450,903,689,"1,696",768,579,343,817,393
Laem Chabang,252,133,734,399,226,746,"1,208",175,-,642,363,455,249,574,"1,225","1,219","1,809",306,158,239
Los Angeles,"2,747",575,790,529,240,301,"1,147","1,254",235,-,"2,278",527,"2,111",783,"4,459","2,447",902,357,875,"1,229"
New Jersey,701,"3,630","1,597","2,499",155,179,"1,080",531,134,"2,129",-,"1,411",664,"3,016","2,210","2,027",739,"1,076",253,599
Piraeus,593,804,"1,564",983,184,198,"2,264",380,153,449,"1,464",-,525,"2,288","1,907","1,652",858,"2,219",206,486
Qingdao,"1,159",248,"1,008",805,204,299,"1,451","1,066",197,"5,242","1,203",896,-,985,"2,610",924,"1,186",582,450,45
Rotterdam,988,"1,471","2,866","1,729",308,426,"4,297",708,332,861,"3,839","1,572",979,-,"3,308","3,075","1,422","3,978",362,864
Shanghai,"2,805",724,"2,542","2,863",749,926,"3,330","1,910",757,"6,082","3,504","2,283","2,554","3,471",-,"2,269","3,595","1,586","1,745",981
Shenzhen,"3,210",642,"2,871","3,088",821,"1,074","4,771","2,147",857,"3,010","3,745","2,554",773,"4,154","1,812",-,"3,881","1,418",652,253
Singapore,"1,480",535,"2,915","1,606",908,"2,077","4,610",995,962,"2,776","1,485","1,441","1,351","2,372","4,887","4,969",-,"1,289",373,"1,396"
Tanger Med,530,983,"1,632","1,503",223,306,"2,373",306,214,348,"1,074","1,198",481,"2,101","1,702","1,526","1,022",-,206,431
Tianjin,894,187,767,711,139,202,"1,327",563,158,"2,003",888,592,993,"1,084","2,092",639,"1,073",410,-,43
Xiamen,"1,872",251,"1,278","1,262",231,281,"2,141","1,236",256,"1,593","1,524","1,005",448,"1,569","1,173","4,387","1,582",629,43,-
