Port,Origin Waiting TEU,Transshipment Waiting TEU,Total Waiting TEU,Vessels Waiting
Busan,399,80,479,0.00
Cartagena,157,0,157,0.00
Colombo,385,285,670,0.00
Hamburg,310,2,313,0.00
Ho Chi Minh City,58,0,58,0.02
Jakarta,44,0,44,0.00
Jebel Ali,380,0,381,0.00
Kaohsiung,172,5,177,0.00
Laem Chabang,58,0,58,0.01
Los Angeles,247,1,247,0.00
New Jersey,299,186,485,0.00
Piraeus,232,233,464,0.09
Qingdao,215,2,217,0.00
Rotterdam,426,7,433,0.00
Shanghai,492,760,"1,252",0.00
Shenzhen,460,362,822,0.00
Singapore,406,453,859,0.00
Tanger Med,230,127,357,0.00
Tianjin,152,0,152,0.04
Xiamen,234,0,234,0.02
TOTAL,"5,355","2,504","7,859",0.18
