Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,30,63,126,11,14,179,118,12,178,192,89,12,162,42,35,60,61,5,17
Cartagena,24,-,40,39,9,12,47,15,9,63,33,42,32,54,80,72,39,32,17,19
Colombo,64,41,-,82,12,13,60,37,15,54,87,44,56,115,81,96,31,56,16,40
Hamburg,60,38,88,-,13,16,168,38,14,70,69,29,59,7,154,161,56,22,26,52
Ho Chi Minh City,14,13,23,32,-,10,48,9,2,50,28,18,17,48,43,44,14,21,8,13
Jakarta,19,18,30,38,6,-,62,10,8,66,39,35,18,60,49,55,5,24,10,14
Jebel Ali,82,28,63,113,16,21,-,52,17,117,74,39,63,166,96,108,53,122,18,52
Kaohsiung,15,20,24,61,9,10,54,-,9,134,70,36,11,68,27,17,24,31,8,8
Laem Chabang,15,13,20,30,2,9,50,9,-,56,28,25,15,43,40,44,10,20,10,12
Los Angeles,86,84,55,65,17,20,107,52,17,-,272,50,79,96,154,133,55,38,31,65
New Jersey,70,43,84,67,11,13,83,49,10,278,-,61,70,76,167,159,45,21,26,54
Piraeus,44,40,43,18,8,8,57,26,7,47,57,-,41,37,92,90,31,20,16,31
Qingdao,5,27,38,69,8,11,94,12,8,184,109,60,-,84,8,8,34,45,9,0
Rotterdam,90,55,127,4,19,25,240,59,22,107,100,25,92,-,217,218,77,28,34,69
Shanghai,40,74,61,213,19,21,163,17,20,261,268,120,51,246,-,14,53,100,31,4
Shenzhen,29,61,55,210,16,19,215,7,19,155,267,120,12,273,36,-,38,81,9,6
Singapore,57,45,27,94,4,8,97,33,7,193,93,54,60,134,67,90,-,62,16,41
Tanger Med,44,30,60,13,12,16,119,23,12,40,21,12,42,14,98,98,46,-,18,32
Tianjin,6,22,31,64,6,8,89,7,7,75,82,41,2,94,10,7,33,32,-,0
Xiamen,21,27,42,103,8,9,126,7,9,85,129,62,7,126,25,12,38,45,1,-
