Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,3,15,14,3,3,26,73,3,61,22,13,20,19,48,25,18,8,12,14
Cartagena,2,-,6,11,1,1,5,1,1,4,30,9,3,15,9,7,5,11,1,2
Colombo,17,5,-,25,9,12,83,11,9,9,15,22,13,35,45,44,42,20,4,13
Hamburg,8,9,24,-,3,3,37,6,3,7,26,20,7,29,28,29,13,25,3,7
Ho Chi Minh City,1,1,4,2,-,3,6,1,3,3,2,2,1,3,7,6,10,2,1,1
Jakarta,1,1,3,2,1,-,5,1,2,3,2,2,1,3,5,5,5,1,1,1
Jebel Ali,18,5,81,32,7,11,-,12,7,17,16,27,12,46,32,33,37,40,4,12
Kaohsiung,26,2,5,6,2,2,7,-,2,47,8,5,10,8,17,8,6,4,9,4
Laem Chabang,1,1,4,2,1,4,6,1,-,3,2,2,1,3,6,6,10,1,1,1
Los Angeles,30,8,10,7,3,4,14,16,3,-,28,6,24,10,55,30,11,4,10,16
New Jersey,7,36,15,27,1,2,11,5,1,20,-,15,7,32,21,19,7,12,2,6
Piraeus,7,10,20,13,3,3,31,5,2,6,18,-,6,30,23,21,11,28,3,6
Qingdao,12,3,10,9,2,3,15,11,2,59,13,9,-,10,28,10,12,6,5,0
Rotterdam,13,16,37,18,4,5,55,9,4,11,39,20,13,-,41,40,19,39,5,11
Shanghai,30,7,33,37,9,12,40,20,9,75,33,29,27,46,-,24,45,20,17,10
Shenzhen,33,6,38,40,10,14,58,22,10,31,35,33,8,56,19,-,49,18,7,3
Singapore,19,5,42,21,5,7,65,13,5,35,14,19,16,32,63,61,-,17,5,18
Tanger Med,7,10,21,15,3,4,30,4,2,4,11,15,6,22,20,19,13,-,2,5
Tianjin,9,2,8,8,1,2,14,6,2,22,10,6,10,12,22,7,11,4,-,0
Xiamen,19,3,13,13,2,3,21,13,3,16,16,10,5,17,13,46,16,6,0,-
