PeriodIndex,StartDay,EndDay,AverageTransportTime
1,1,5,13.076
2,6,10,13.294
3,11,15,13.25
4,16,20,13.584
5,21,25,13.528
6,26,30,13.318
7,31,35,13.39
8,36,40,13.442
9,41,45,13.694
10,46,50,13.43
11,51,55,13.296
12,56,60,13.168
13,61,65,13.494
14,66,70,13.338
15,71,75,13.472
16,76,80,13.514
17,81,85,13.634
18,86,90,13.848
19,91,95,13.524
20,96,100,13.562
21,101,105,13.59
22,106,110,13.356
23,111,115,13.648
24,116,120,13.398
25,121,125,13.358
26,126,130,13.658
27,131,135,13.786
28,136,140,14.166
29,141,145,13.67
30,146,150,13.646
31,151,155,13.788
32,156,160,13.758
33,161,165,13.702
34,166,170,13.576
35,171,175,13.762
36,176,180,13.962
37,181,185,14.012
38,186,190,13.964
39,191,195,13.886
40,196,200,13.79
41,201,205,13.97
42,206,210,13.858
43,211,215,13.636
44,216,220,13.748
45,221,225,14.186
46,226,230,14.02
47,231,235,14.422
48,236,240,14.084
49,241,245,14.034
50,246,250,14.408
51,251,255,13.87
52,256,260,13.95
53,261,265,14.016
54,266,270,13.972
55,271,275,14.064
56,276,280,14.408
57,281,285,14.206
58,286,290,14.184
59,291,295,14.24
60,296,300,14.38
61,301,305,14.302
62,306,310,14.164
63,311,315,14.126
64,316,320,14.288
65,321,325,14.56
66,326,330,14.266
67,331,335,14.522
68,336,340,14.602
69,341,345,14.576
70,346,350,14.59
71,351,355,14.42
72,356,360,14.092
