Origin \ Destination,Busan,Cartagena,Colombo,Hamburg,Ho Chi Minh City,Jakarta,Jebel Ali,Kaohsiung,Laem Chabang,Los Angeles,New Jersey,Piraeus,Qingdao,Rotterdam,Shanghai,Shenzhen,Singapore,Tanger Med,Tianjin,Xiamen
Busan,-,273,"1,416","1,359",228,330,"2,396","6,996",254,"5,576","2,076","1,254","1,898","1,738","4,689","2,413","1,689",701,"1,132","1,339"
Cartagena,200,-,543,"1,030",103,131,507,123,100,419,"2,735",767,257,"1,474",839,714,457,"1,054",141,170
Colombo,"1,351",551,-,"1,774",585,746,"5,187",885,625,687,"1,613","1,634","1,064","2,652","3,596","3,528","3,106","1,552",327,"1,022"
Hamburg,658,977,"1,928",-,200,269,"2,879",440,201,588,"2,486","1,539",617,"2,884","2,270","2,229","1,005","2,534",277,590
Ho Chi Minh City,238,130,707,397,-,658,"1,074",172,543,555,345,322,263,610,"1,245","1,164","1,829",306,127,244
Jakarta,342,184,984,497,448,-,"1,466",219,470,790,516,657,295,813,"1,639","1,566","1,475",362,183,298
Jebel Ali,"1,171",346,"5,443","1,873",507,695,-,796,497,"1,188","1,000","1,660",824,"2,899","2,051","2,105","2,561","2,287",250,854
Kaohsiung,"2,439",166,448,625,167,203,644,-,172,"3,679",701,463,903,689,"1,696",786,579,329,816,397
Laem Chabang,253,139,701,396,226,747,"1,140",177,-,640,363,465,250,565,"1,235","1,210","1,827",304,164,233
Los Angeles,"2,773",586,766,536,236,292,"1,047","1,267",228,-,"2,292",524,"2,111",810,"4,502","2,429",889,335,876,"1,226"
New Jersey,706,"3,676","1,596","2,488",163,181,"1,080",534,137,"2,127",-,"1,430",676,"3,011","2,228","2,006",730,"1,072",254,602
Piraeus,596,784,"1,597",990,184,205,"2,253",381,153,457,"1,450",-,523,"2,284","1,899","1,674",853,"2,078",206,469
Qingdao,"1,160",258,983,804,202,298,"1,343","1,066",193,"5,189","1,238",914,-,993,"2,612",924,"1,187",539,458,45
Rotterdam,993,"1,487","2,929","1,723",307,426,"4,258",709,331,874,"3,925","1,536",977,-,"3,295","3,119","1,412","3,972",361,839
Shanghai,"2,805",759,"2,484","2,878",740,940,"3,079","1,911",742,"6,063","3,534","2,306","2,554","3,452",-,"2,269","3,655","1,487","1,745",982
Shenzhen,"3,212",668,"2,802","3,099",803,"1,059","4,385","2,146",831,"2,987","3,775","2,582",773,"4,153","1,817",-,"3,938","1,402",649,253
Singapore,"1,491",557,"2,712","1,624",909,"2,081","4,425","1,004",957,"2,781","1,495","1,456","1,372","2,382","4,931","4,945",-,"1,279",379,"1,369"
Tanger Med,539,996,"1,668","1,500",221,310,"2,348",307,213,357,"1,099","1,177",480,"2,095","1,694","1,556","1,010",-,205,418
Tianjin,891,198,740,727,137,202,"1,262",563,153,"1,983",908,609,993,"1,105","2,093",639,"1,074",392,-,43
Xiamen,"1,872",261,"1,255","1,264",229,273,"2,020","1,236",252,"1,610","1,556","1,034",448,"1,593","1,172","4,385","1,582",629,43,-
