Port,Origin Waiting TEU,Transshipment Waiting TEU,Total Waiting TEU,Vessels Waiting
Busan,399,80,479,0.00
Cartagena,124,0,124,0.00
Colombo,432,154,586,0.00
Hamburg,287,0,287,0.00
Ho Chi Minh City,57,0,57,0.02
Jakarta,43,0,43,0.00
Jebel Ali,451,1,452,0.00
Kaohsiung,178,14,192,0.00
Laem Chabang,58,0,58,0.01
Los Angeles,289,2,291,0.00
New Jersey,245,139,385,0.00
Piraeus,247,266,513,0.10
Qingdao,221,2,223,0.00
Rotterdam,398,4,402,0.00
Shanghai,523,719,"1,242",0.00
Shenzhen,490,438,928,0.00
Singapore,463,708,"1,172",0.00
Tanger Med,212,102,315,0.00
Tianjin,155,0,155,0.03
Xiamen,235,0,235,0.02
TOTAL,"5,509","2,629","8,138",0.18
