Route,Name,Avg Capacity TEU,Avg Carried TEU,Utilization
S1,Asia-Europe-NorthEurope,"134,442","7,437",5.53%
S2,Intra-EastAsia,"12,856","1,001",7.78%
S3,Mekong-Regional-Feeder,"4,874",174,3.56%
S4,Transpacific-South,"50,920","1,307",2.57%
S5,Asia-US-East,"86,145","2,356",2.73%
S5-R2-DETOUR,Asia-US-East Round 2 Detour,"29,451",660,2.24%
S6,Transatlantic-Caribbean,"38,080","1,104",2.90%
S7,IndianOcean-Gulf-EastMed,"37,016","1,257",3.39%
S7-R2-PIRAEUS-SKIP,IndianOcean-Gulf-EastMed Round 2 Piraeus Skip,"4,583",273,5.97%
S8,Indonesia-Regional-Feeder,"1,535",65,4.22%
S9,Transpacific-North,"62,975",842,1.34%
TOTAL,,"462,876","16,474",3.56%
